Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,Customer Lifetime Value
GN76399,Nevada,No,Premium,Bachelor,6/2/2011,Unemployed,M,0,Suburban,Single,112,17,29,0,7,Personal Auto,Personal L3,Offer1,Call Center,806.4,Four-Door Car,Medsize,8178.521899
KC11055,Nevada,No,Extended,Bachelor,1/24/11,Employed,F,39411,Suburban,Married,217,4,29,2,4,Personal Auto,Personal L3,Offer3,Branch,1122.658899,Luxury Car,Medsize,16936.27147
LD26428,Oregon,No,Basic,Bachelor,2/14/11,Unemployed,M,0,Suburban,Single,73,11,56,0,5,Corporate Auto,Corporate L3,Offer2,Branch,680.047456,Four-Door Car,Medsize,4893.291507
EI17022,Washington,Yes,Basic,Bachelor,5/2/2011,Retired,M,14973,Suburban,Divorced,115,2,75,0,2,Corporate Auto,Corporate L3,Offer1,Branch,828.0,SUV,Medsize,12168.74492
UQ41461,Washington,No,Basic,Bachelor,1/27/11,Disabled,F,27538,Urban,Divorced,63,10,6,4,3,Personal Auto,Personal L2,Offer1,Call Center,285.843893,Four-Door Car,Medsize,4570.673702
TN79733,Oregon,Yes,Basic,High School or Below,1/27/11,Unemployed,F,0,Suburban,Divorced,63,4,52,0,2,Personal Auto,Personal L2,Offer2,Agent,685.12694,Four-Door Car,Medsize,16468.22079
UR42360,California,Yes,Basic,Bachelor,1/17/11,Employed,M,35095,Suburban,Divorced,73,25,56,0,2,Personal Auto,Personal L1,Offer2,Call Center,525.6,Two-Door Car,Small,16979.79757
PM63319,Washington,No,Basic,College,2/22/11,Unemployed,F,0,Suburban,Single,65,7,67,0,7,Personal Auto,Personal L1,Offer1,Agent,438.369382,Four-Door Car,Medsize,4529.976333
LN62857,California,No,Extended,Master,8/2/2011,Medical Leave,F,23749,Rural,Married,77,20,6,0,4,Personal Auto,Personal L2,Offer1,Agent,151.550875,Four-Door Car,Medsize,6005.027312
MU64306,California,No,Basic,College,6/2/2011,Employed,M,57074,Rural,Married,105,28,19,0,3,Personal Auto,Personal L2,Offer2,Web,80.129332,SUV,Medsize,8355.642928
LR37068,Oregon,No,Extended,College,10/1/2011,Employed,F,35773,Suburban,Married,93,25,89,0,2,Personal Auto,Personal L3,Offer1,Web,446.4,Four-Door Car,Small,11030.66148
HV75193,California,No,Basic,Master,7/2/2011,Disabled,F,26924,Urban,Married,73,12,80,0,1,Personal Auto,Personal L2,Offer1,Call Center,262.086021,Four-Door Car,Medsize,2866.595388
FX67699,Oregon,Yes,Basic,High School or Below,1/18/11,Unemployed,F,0,Suburban,Single,61,17,1,1,7,Corporate Auto,Corporate L3,Offer1,Agent,292.8,Four-Door Car,Small,4250.282624
FG31425,Arizona,No,Basic,College,2/21/11,Employed,F,37811,Suburban,Married,63,25,14,0,1,Special Auto,Special L2,Offer4,Agent,365.002909,Four-Door Car,Medsize,2530.810167
VO29645,Oregon,Yes,Basic,High School or Below,2/26/11,Medical Leave,M,12430,Suburban,Single,73,22,13,0,4,Personal Auto,Personal L3,Offer2,Call Center,350.4,Four-Door Car,Medsize,5169.49937
LG45849,California,No,Premium,Doctor,1/19/11,Employed,M,27985,Suburban,Married,117,8,90,0,1,Personal Auto,Personal L2,Offer4,Call Center,561.6,Two-Door Car,Small,4698.521352
ZQ22116,Arizona,No,Basic,High School or Below,1/16/11,Employed,F,73102,Rural,Married,66,35,46,0,4,Corporate Auto,Corporate L3,Offer2,Branch,117.928547,Four-Door Car,Small,5310.905647
PY70169,Oregon,No,Basic,High School or Below,2/24/11,Employed,M,93011,Rural,Divorced,113,17,12,0,2,Personal Auto,Personal L3,Offer4,Agent,281.451042,SUV,Medsize,22643.83478
IB87349,California,No,Premium,High School or Below,2/25/11,Employed,M,70340,Suburban,Married,113,5,56,0,1,Special Auto,Special L2,Offer1,Agent,542.4,Four-Door Car,Small,4528.50489
WE80653,Oregon,No,Basic,Bachelor,3/2/2011,Unemployed,F,0,Rural,Divorced,103,2,75,2,6,Personal Auto,Personal L3,Offer1,Agent,2.455033,SUV,Medsize,6827.178202
XG44587,Arizona,Yes,Basic,Master,1/31/11,Employed,M,88997,Rural,Divorced,72,9,71,0,3,Personal Auto,Personal L3,Offer2,Branch,174.041566,Four-Door Car,Small,5757.442258
DC46685,California,Yes,Basic,College,1/26/11,Medical Leave,F,25370,Suburban,Married,102,10,77,0,2,Corporate Auto,Corporate L3,Offer1,Branch,489.6,Sports Car,Large,11638.89947
UI73924,Oregon,No,Basic,Bachelor,2/1/2011,Employed,F,55257,Urban,Married,64,0,77,3,1,Personal Auto,Personal L3,Offer3,Agent,209.596158,Two-Door Car,Medsize,2469.56901
FI93397,Oregon,No,Extended,Bachelor,5/2/2011,Unemployed,F,0,Suburban,Single,79,28,94,0,1,Personal Auto,Personal L2,Offer1,Branch,509.028102,Four-Door Car,Medsize,2776.317884
MC48570,Arizona,No,Basic,Doctor,2/26/11,Disabled,F,18661,Urban,Married,62,13,74,0,1,Personal Auto,Personal L2,Offer2,Web,196.879475,Two-Door Car,Medsize,2470.441268
LJ20215,California,No,Extended,High School or Below,1/23/11,Unemployed,F,0,Suburban,Single,95,18,75,0,1,Corporate Auto,Corporate L3,Offer1,Agent,679.052398,Four-Door Car,Medsize,3435.649178
JA34909,California,Yes,Basic,College,2/2/2011,Medical Leave,F,17576,Suburban,Married,71,29,70,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,398.502948,Four-Door Car,Medsize,2722.210707
HG83893,Nevada,No,Basic,High School or Below,11/2/2011,Employed,F,59183,Suburban,Married,113,11,91,0,5,Personal Auto,Personal L2,Offer3,Agent,542.4,SUV,Medsize,9100.731403
LZ84227,Arizona,No,Premium,College,1/17/11,Employed,M,95715,Rural,Married,119,0,52,2,2,Personal Auto,Personal L3,Offer1,Agent,148.98255,Four-Door Car,Medsize,14120.03562
UD31660,California,No,Premium,Bachelor,1/13/11,Employed,M,70129,Rural,Married,103,24,57,1,1,Personal Auto,Personal L2,Offer1,Branch,130.495798,Four-Door Car,Medsize,4061.590219
VE47660,Oregon,No,Basic,High School or Below,5/2/2011,Employed,F,30004,Suburban,Married,112,12,42,0,5,Personal Auto,Personal L3,Offer3,Web,806.4,SUV,Medsize,9033.246265
KU88219,Arizona,No,Basic,Master,7/2/2011,Employed,M,25816,Suburban,Single,119,18,63,0,1,Personal Auto,Personal L1,Offer3,Agent,571.2,Sports Car,Medsize,4637.164036
YY63521,Arizona,Yes,Extended,College,2/19/11,Employed,M,20396,Suburban,Married,76,15,60,1,4,Personal Auto,Personal L2,Offer1,Branch,364.8,Four-Door Car,Medsize,6047.02516
AZ62651,Oregon,No,Premium,High School or Below,2/17/11,Employed,M,56855,Suburban,Single,255,12,1,0,1,Corporate Auto,Corporate L3,Offer4,Web,1836.0,Luxury SUV,Medsize,9951.707743
CF95802,California,No,Basic,College,10/2/2011,Unemployed,M,0,Suburban,Single,114,9,27,0,5,Personal Auto,Personal L2,Offer2,Branch,820.8,SUV,Small,8151.719109
RA87395,California,No,Basic,Bachelor,1/13/11,Unemployed,M,0,Rural,Married,118,25,29,0,7,Personal Auto,Personal L3,Offer1,Agent,153.176419,SUV,Medsize,8356.181097
KN13494,Washington,Yes,Basic,Master,3/2/2011,Employed,F,97131,Suburban,Married,64,5,80,0,6,Personal Auto,Personal L1,Offer2,Agent,307.2,Four-Door Car,Small,5181.620895
GY88677,Oregon,No,Premium,Bachelor,1/29/11,Employed,F,46268,Urban,Married,199,34,17,1,2,Personal Auto,Personal L3,Offer1,Agent,842.000858,Sports Car,Medsize,23675.02939
SA91515,California,No,Basic,Bachelor,1/28/11,Unemployed,M,0,Suburban,Married,111,35,68,0,1,Personal Auto,Personal L1,Offer1,Call Center,700.349052,SUV,Large,3992.583886
YN69214,California,No,Basic,Bachelor,1/14/11,Unemployed,M,0,Suburban,Single,73,3,73,0,2,Personal Auto,Personal L1,Offer2,Web,617.705323,Four-Door Car,Medsize,7689.714281
LF94873,California,No,Premium,College,2/23/11,Unemployed,F,0,Suburban,Single,190,21,35,1,7,Personal Auto,Personal L3,Offer3,Branch,1654.202174,SUV,Medsize,13045.37088
UR40795,Oregon,No,Basic,High School or Below,5/1/2011,Medical Leave,M,27849,Suburban,Married,119,24,94,0,3,Personal Auto,Personal L2,Offer1,Web,571.2,Sports Car,Small,9269.677845
ED29955,California,No,Basic,Bachelor,1/15/11,Employed,M,61542,Suburban,Married,67,33,83,0,6,Personal Auto,Personal L3,Offer1,Agent,321.6,Four-Door Car,Medsize,5284.041003
OQ99704,Washington,No,Basic,Bachelor,11/2/2011,Employed,F,52801,Urban,Married,100,21,78,0,1,Personal Auto,Personal L3,Offer2,Branch,475.20088,SUV,Small,3981.775889
BG30513,California,Yes,Extended,College,1/2/2011,Retired,F,13663,Suburban,Single,97,1,66,0,2,Personal Auto,Personal L2,Offer1,Branch,465.6,Four-Door Car,Small,25464.82059
DP23630,California,No,Basic,High School or Below,2/22/11,Unemployed,M,0,Suburban,Single,73,6,19,0,2,Personal Auto,Personal L3,Offer1,Agent,525.6,Four-Door Car,Large,7411.813055
AT52647,California,No,Basic,High School or Below,2/22/11,Unemployed,F,0,Suburban,Single,113,35,29,0,1,Personal Auto,Personal L1,Offer2,Call Center,1305.275432,SUV,Medsize,4014.9185
IW21434,Oregon,No,Basic,Bachelor,12/2/2011,Employed,F,44940,Urban,Single,65,1,67,0,1,Corporate Auto,Corporate L3,Offer1,Agent,284.492531,Four-Door Car,Medsize,2570.433324
JK74110,California,No,Extended,High School or Below,8/1/2011,Employed,M,98333,Urban,Married,99,16,69,1,1,Personal Auto,Personal L3,Offer1,Branch,459.048775,Four-Door Car,Medsize,3980.421464
AS78838,California,Yes,Basic,Bachelor,9/2/2011,Medical Leave,M,29735,Suburban,Single,69,3,92,0,1,Personal Auto,Personal L2,Offer1,Agent,331.2,Four-Door Car,Medsize,2453.570794
VH43367,California,No,Basic,High School or Below,2/21/11,Employed,F,61402,Suburban,Married,63,14,56,2,1,Special Auto,Special L1,Offer1,Agent,302.4,Four-Door Car,Medsize,2506.021971
FC59209,California,No,Basic,Bachelor,9/1/2011,Unemployed,F,0,Suburban,Married,67,30,13,0,1,Personal Auto,Personal L1,Offer4,Call Center,321.6,Four-Door Car,Large,2460.665175
ML38237,California,No,Basic,High School or Below,1/19/11,Unemployed,F,0,Suburban,Married,119,12,57,0,4,Corporate Auto,Corporate L1,Offer1,Agent,571.2,SUV,Medsize,8869.631143
UT76436,Nevada,No,Extended,Bachelor,2/22/11,Employed,F,55910,Urban,Married,86,4,3,0,1,Personal Auto,Personal L3,Offer1,Call Center,324.348688,Four-Door Car,Medsize,3438.949322
GD17919,Arizona,No,Extended,College,2/21/11,Unemployed,F,0,Suburban,Single,78,2,63,0,2,Special Auto,Special L2,Offer1,Call Center,561.6,Four-Door Car,Medsize,14455.86021
MR84659,Oregon,Yes,Extended,College,2/14/11,Employed,F,35482,Suburban,Married,129,21,59,0,3,Personal Auto,Personal L3,Offer1,Branch,619.2,SUV,Medsize,10208.92761
LD20926,Arizona,No,Extended,Bachelor,1/31/11,Unemployed,F,0,Suburban,Single,92,34,39,1,2,Personal Auto,Personal L2,Offer1,Call Center,441.6,Two-Door Car,Large,18892.19767
QH62059,California,No,Basic,Bachelor,2/17/11,Unemployed,M,0,Suburban,Divorced,64,26,11,1,7,Personal Auto,Personal L3,Offer1,Web,307.2,Four-Door Car,Medsize,4490.597249
FR81224,Oregon,No,Basic,Master,7/2/2011,Employed,M,89205,Rural,Married,68,28,86,0,6,Personal Auto,Personal L2,Offer2,Agent,165.523154,Two-Door Car,Medsize,5494.87251
BN38134,Washington,No,Extended,Bachelor,7/1/2011,Employed,F,39428,Rural,Married,84,19,80,2,8,Personal Auto,Personal L3,Offer2,Branch,72.32926,Two-Door Car,Large,6727.617003
LD22387,California,No,Extended,High School or Below,1/16/11,Employed,F,53078,Urban,Married,79,29,81,2,8,Corporate Auto,Corporate L3,Offer2,Branch,200.97608,Four-Door Car,Medsize,6225.022266
ED90879,Nevada,No,Premium,Bachelor,1/18/11,Employed,M,20757,Rural,Single,102,6,74,3,9,Corporate Auto,Corporate L3,Offer1,Agent,216.4268,Four-Door Car,Medsize,7325.917302
WE64781,Oregon,No,Extended,Bachelor,5/1/2011,Employed,F,93836,Urban,Married,139,1,19,0,2,Corporate Auto,Corporate L1,Offer3,Web,497.353106,Sports Car,Medsize,16922.12519
KJ72146,Oregon,No,Basic,Bachelor,1/20/11,Employed,M,30895,Suburban,Divorced,62,10,35,0,2,Personal Auto,Personal L2,Offer4,Web,297.6,Four-Door Car,Small,7126.471703
CO91673,California,No,Basic,Bachelor,2/14/11,Medical Leave,F,29031,Suburban,Married,61,7,19,2,3,Personal Auto,Personal L2,Offer2,Agent,292.8,Four-Door Car,Medsize,4547.321823
KY33386,Washington,Yes,Basic,High School or Below,2/1/2011,Unemployed,F,0,Suburban,Divorced,112,12,93,0,3,Personal Auto,Personal L3,Offer1,Web,537.6,Sports Car,Medsize,8007.399376
OE19653,Oregon,No,Extended,High School or Below,2/26/11,Unemployed,F,0,Suburban,Married,93,4,63,0,1,Personal Auto,Personal L2,Offer4,Branch,446.4,Two-Door Car,Small,3500.855508
IJ33473,California,No,Basic,Bachelor,1/13/11,Unemployed,F,0,Suburban,Single,73,9,28,2,2,Personal Auto,Personal L3,Offer3,Call Center,350.4,Two-Door Car,Medsize,20766.66918
OU78642,Arizona,No,Basic,Master,2/27/11,Employed,F,81568,Urban,Married,186,0,73,0,1,Personal Auto,Personal L3,Offer2,Web,737.442295,Luxury SUV,Medsize,7583.56435
YE45848,California,No,Extended,Bachelor,7/2/2011,Employed,F,87421,Suburban,Married,99,21,6,0,6,Corporate Auto,Corporate L2,Offer1,Branch,475.2,Two-Door Car,Medsize,8026.278333
XB77333,Oregon,Yes,Basic,College,1/27/11,Unemployed,F,0,Suburban,Single,68,19,2,3,2,Personal Auto,Personal L2,Offer1,Agent,326.4,Four-Door Car,Large,13197.92893
MU79385,Arizona,No,Extended,College,12/2/2011,Employed,M,60944,Urban,Married,130,10,38,2,4,Personal Auto,Personal L3,Offer2,Web,623.505066,SUV,Medsize,10080.37031
No34698,Oregon,No,Basic,Bachelor,1/17/11,Employed,M,80055,Rural,Married,100,30,83,0,1,Corporate Auto,Corporate L2,Offer1,Branch,121.945071,SUV,Medsize,4015.34005
LC12930,California,No,Basic,Master,11/1/2011,Unemployed,M,0,Suburban,Married,64,1,7,0,7,Personal Auto,Personal L2,Offer1,Agent,307.2,Four-Door Car,Medsize,4872.01638
IV54766,Oregon,Yes,Extended,Master,2/20/11,Employed,F,22705,Suburban,Divorced,239,19,59,0,7,Personal Auto,Personal L1,Offer2,Agent,1294.700423,Luxury SUV,Medsize,19160.98994
TN29644,California,No,Extended,College,2/18/11,Employed,F,67018,Rural,Married,94,11,17,0,4,Personal Auto,Personal L1,Offer2,Agent,104.427573,Four-Door Car,Medsize,7540.054749
EP18940,Oregon,No,Extended,Bachelor,1/1/2011,Unemployed,F,0,Suburban,Married,86,30,32,0,2,Personal Auto,Personal L3,Offer1,Call Center,412.8,Four-Door Car,Medsize,9472.973811
CY18875,Oregon,No,Extended,High School or Below,5/1/2011,Unemployed,F,0,Suburban,Single,78,22,3,0,2,Personal Auto,Personal L3,Offer1,Web,732.340362,Four-Door Car,Small,8390.122077
BO81145,Arizona,No,Basic,Bachelor,1/24/11,Employed,M,21723,Suburban,Single,104,31,6,0,8,Personal Auto,Personal L2,Offer2,Call Center,748.8,SUV,Medsize,7894.5005
PU18983,Oregon,No,Basic,High School or Below,4/2/2011,Employed,F,21450,Suburban,Divorced,110,8,80,2,3,Personal Auto,Personal L1,Offer1,Call Center,528.0,Sports Car,Small,8608.157233
KC69320,Arizona,No,Basic,Bachelor,2/22/11,Employed,F,28582,Suburban,Single,112,27,24,0,2,Personal Auto,Personal L2,Offer2,Agent,537.6,Sports Car,Small,13037.03339
VB23257,Oregon,No,Basic,Bachelor,5/1/2011,Employed,M,47590,Rural,Single,119,14,25,0,1,Special Auto,Special L3,Offer1,Branch,121.327914,SUV,Medsize,4652.595489
ZW32080,Nevada,No,Basic,Bachelor,4/2/2011,Employed,F,37803,Suburban,Divorced,74,26,51,0,1,Personal Auto,Personal L3,Offer1,Agent,355.2,Four-Door Car,Small,2914.955295
ZR88383,Nevada,Yes,Basic,College,2/24/11,Employed,F,55350,Suburban,Married,67,0,13,0,9,Personal Auto,Personal L1,Offer1,Agent,321.6,Four-Door Car,Medsize,5380.898636
FX55923,Arizona,No,Basic,Bachelor,2/22/11,Employed,M,50405,Rural,Divorced,70,6,21,1,9,Personal Auto,Personal L2,Offer3,Call Center,7.069583,Four-Door Car,Medsize,5372.914477
EZ85603,Arizona,No,Premium,College,6/1/2011,Unemployed,F,0,Suburban,Married,152,8,94,0,7,Personal Auto,Personal L3,Offer1,Branch,1082.814636,SUV,Medsize,11631.87866
IJ98317,California,No,Extended,Bachelor,2/24/11,Employed,F,86448,Rural,Married,90,25,79,0,6,Personal Auto,Personal L3,Offer3,Agent,59.853369,Four-Door Car,Medsize,7234.142952
ZF84449,Oregon,No,Basic,College,2/26/11,Unemployed,F,0,Suburban,Single,112,7,34,1,1,Special Auto,Special L1,Offer1,Agent,806.4,Sports Car,Medsize,3726.727996
FJ31683,Washington,No,Basic,Doctor,4/1/2011,Employed,F,43793,Rural,Married,71,8,31,0,1,Personal Auto,Personal L2,Offer2,Agent,16.150175,Four-Door Car,Medsize,2842.822337
WS60888,California,Yes,Basic,Bachelor,2/24/11,Retired,M,22828,Suburban,Married,106,11,54,0,2,Personal Auto,Personal L2,Offer1,Agent,508.8,SUV,Medsize,16473.16905
NL33789,California,No,Basic,Bachelor,1/20/11,Employed,F,53093,Rural,Divorced,103,3,62,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,98.991733,SUV,Medsize,4077.501164
ZR66788,California,No,Basic,High School or Below,8/1/2011,Employed,F,39161,Suburban,Married,71,8,84,3,1,Personal Auto,Personal L3,Offer1,Branch,340.8,Four-Door Car,Medsize,2725.680297
RV15398,Oregon,No,Extended,College,1/22/11,Unemployed,M,0,Suburban,Divorced,87,16,41,1,2,Personal Auto,Personal L3,Offer1,Agent,417.6,Four-Door Car,Large,27580.55396
DF21541,Arizona,No,Basic,College,1/28/11,Disabled,F,23170,Suburban,Divorced,71,21,67,0,1,Personal Auto,Personal L3,Offer1,Call Center,340.8,Four-Door Car,Medsize,2646.573754
BM92346,California,Yes,Extended,High School or Below,5/1/2011,Employed,F,66676,Suburban,Married,97,0,40,0,1,Personal Auto,Personal L1,Offer3,Agent,558.099357,Four-Door Car,Small,3919.366722
SS48498,Washington,No,Extended,College,5/1/2011,Employed,F,20836,Rural,Married,79,25,2,0,9,Corporate Auto,Corporate L3,Offer1,Branch,193.57032,Four-Door Car,Medsize,6273.173441
GB32334,California,No,Basic,College,10/2/2011,Employed,F,24702,Urban,Married,68,13,63,0,8,Personal Auto,Personal L3,Offer2,Web,214.91451,Four-Door Car,Large,5379.482798
NM57315,California,Yes,Basic,Bachelor,1/17/11,Employed,M,35095,Suburban,Divorced,73,25,56,0,2,Special Auto,Special L3,Offer2,Call Center,525.6,Two-Door Car,Small,16979.79757
PI96349,California,Yes,Basic,College,1/30/11,Unemployed,M,0,Suburban,Married,102,35,48,0,2,Personal Auto,Personal L3,Offer1,Branch,489.6,SUV,Medsize,22103.5072
ON68006,California,No,Basic,Bachelor,1/16/11,Employed,F,26129,Suburban,Divorced,70,4,38,0,3,Personal Auto,Personal L2,Offer1,Agent,419.187114,Four-Door Car,Medsize,5520.149969
VV57998,California,No,Basic,Bachelor,2/1/2011,Unemployed,M,0,Suburban,Single,71,17,22,0,1,Corporate Auto,Corporate L2,Offer1,Agent,340.8,Four-Door Car,Medsize,2556.674379
GD86131,California,Yes,Basic,College,2/2/2011,Medical Leave,F,17576,Suburban,Married,71,29,70,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,398.502948,Four-Door Car,Medsize,2722.210707
TZ22914,Oregon,No,Basic,Master,1/14/11,Disabled,M,12940,Urban,Divorced,68,7,36,0,3,Personal Auto,Personal L3,Offer1,Agent,268.1726,Two-Door Car,Large,5130.823951
PN69476,Nevada,No,Basic,Master,1/27/11,Unemployed,M,0,Suburban,Married,70,5,70,2,1,Personal Auto,Personal L3,Offer4,Branch,449.601961,Two-Door Car,Medsize,2453.336242
AA16582,Washington,Yes,Basic,Bachelor,1/26/11,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Personal Auto,Personal L2,Offer1,Agent,511.2,Four-Door Car,Medsize,24127.50402
TP87527,California,No,Basic,High School or Below,2/15/11,Unemployed,F,0,Suburban,Divorced,65,11,62,0,1,Corporate Auto,Corporate L3,Offer1,Branch,361.181122,Four-Door Car,Large,2392.13114
WM65373,California,Yes,Basic,College,11/1/2011,Unemployed,F,0,Suburban,Married,107,3,65,0,3,Corporate Auto,Corporate L3,Offer1,Agent,513.6,SUV,Medsize,8002.308333
MY97912,Arizona,No,Extended,College,1/13/11,Unemployed,M,0,Suburban,Divorced,127,19,40,0,2,Personal Auto,Personal L3,Offer1,Call Center,609.6,SUV,Medsize,13309.33517
QW87316,Oregon,No,Basic,College,1/20/11,Employed,F,39035,Urban,Divorced,68,15,65,0,1,Personal Auto,Personal L2,Offer2,Agent,244.564334,Four-Door Car,Medsize,2650.622781
XQ93931,Oregon,No,Basic,College,2/27/11,Employed,M,23706,Suburban,Married,68,1,56,1,2,Corporate Auto,Corporate L3,Offer3,Web,326.4,Four-Door Car,Medsize,7806.137458
LQ79472,Arizona,No,Extended,College,1/17/11,Employed,M,99816,Rural,Single,86,0,0,0,1,Corporate Auto,Corporate L2,Offer3,Branch,172.913031,Two-Door Car,Medsize,3423.822189
DR77989,California,No,Basic,College,1/25/11,Unemployed,M,0,Urban,Divorced,68,16,12,0,7,Personal Auto,Personal L1,Offer1,Call Center,199.23876,Four-Door Car,Medsize,4785.909313
BJ18904,Arizona,No,Basic,College,2/22/11,Medical Leave,M,14616,Suburban,Married,106,16,23,0,1,Personal Auto,Personal L3,Offer1,Agent,575.260213,SUV,Small,3964.534974
TZ81094,Nevada,No,Basic,High School or Below,1/18/11,Medical Leave,F,19030,Suburban,Married,62,7,22,0,1,Corporate Auto,Corporate L3,Offer3,Branch,355.820799,Two-Door Car,Medsize,2372.155492
OH93496,Arizona,No,Basic,Bachelor,10/1/2011,Unemployed,M,0,Suburban,Single,109,22,5,0,1,Personal Auto,Personal L3,Offer1,Agent,784.8,SUV,Small,3703.404606
OD56551,Oregon,No,Basic,College,9/1/2011,Employed,M,27978,Suburban,Single,69,3,21,1,7,Personal Auto,Personal L3,Offer1,Branch,447.911255,Four-Door Car,Medsize,5239.890913
RC72799,Oregon,No,Basic,College,2/16/11,Employed,F,33252,Suburban,Married,71,20,4,0,1,Personal Auto,Personal L2,Offer2,Agent,407.668083,Four-Door Car,Medsize,2839.808041
LT77960,Arizona,No,Basic,College,1/21/11,Employed,F,28559,Suburban,Married,66,5,1,0,5,Corporate Auto,Corporate L3,Offer4,Call Center,427.242973,Four-Door Car,Medsize,5316.7566
KK38827,California,Yes,Basic,Master,1/17/11,Employed,F,29462,Suburban,Single,107,28,23,1,1,Personal Auto,Personal L2,Offer2,Branch,513.6,SUV,Large,4170.687348
GH90738,Oregon,No,Extended,Bachelor,1/29/11,Employed,F,71176,Urban,Married,91,3,62,2,1,Personal Auto,Personal L2,Offer2,Web,278.072755,Two-Door Car,Medsize,3580.076125
OZ37864,Oregon,No,Basic,Bachelor,1/21/11,Unemployed,F,0,Rural,Divorced,62,18,34,0,3,Personal Auto,Personal L3,Offer1,Branch,114.097383,Four-Door Car,Medsize,4407.769164
JQ65500,Oregon,No,Premium,Bachelor,2/24/11,Employed,F,44988,Suburban,Married,108,30,57,0,3,Corporate Auto,Corporate L2,Offer1,Web,518.4,Two-Door Car,Medsize,8620.997439
VT78274,Arizona,No,Basic,College,1/17/11,Unemployed,M,0,Suburban,Married,68,6,93,0,8,Personal Auto,Personal L3,Offer1,Agent,480.159011,Four-Door Car,Medsize,4931.221348
CC94413,Oregon,No,Basic,Bachelor,1/16/11,Employed,F,41154,Suburban,Married,72,6,7,1,8,Personal Auto,Personal L2,Offer2,Agent,345.6,Four-Door Car,Small,5701.277221
UG38549,California,No,Extended,High School or Below,1/16/11,Unemployed,F,0,Suburban,Single,83,12,97,0,2,Personal Auto,Personal L2,Offer3,Agent,597.6,Four-Door Car,Large,8852.734284
QA45054,Arizona,No,Basic,High School or Below,1/18/11,Employed,F,60909,Urban,Married,112,8,94,0,5,Personal Auto,Personal L2,Offer3,Agent,412.106287,SUV,Small,8932.317753
TN71995,Arizona,No,Extended,Bachelor,2/26/11,Unemployed,M,0,Suburban,Divorced,84,4,52,1,4,Personal Auto,Personal L3,Offer2,Agent,403.2,Four-Door Car,Large,5637.740051
FG77231,Oregon,Yes,Basic,Bachelor,7/1/2011,Employed,F,73054,Urban,Married,106,34,36,1,2,Personal Auto,Personal L3,Offer1,Branch,419.365958,SUV,Medsize,12741.84754
